,image_files,caption,prob
0,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-001-01.jpg,"the president of egypt, el sisi stands.",0.0007621447600644497
1,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-002-01.jpg,"el sisi is stationed with his advisors, el sisi.",0.0009651456869987918
2,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-003-01.jpg,el sisi is stationed with his advisors of his projects.,0.00012986472359722965
3,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-004-01.jpg,el sisi is positioned among his advisory team.,6.741438582254362e-05
4,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-005-01.jpg,"el sisi is positioned among his advisors, el sisi.",0.00031923763324165897
5,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-006-01.jpg,"the president of egypt, president el sisi.",0.0011662842240406442
6,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-007-01.jpg,the presidential parade.,0.021142254276617665
7,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-008-01.jpg,el sisi proceeds.,0.004995410464119323
8,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-009-01.jpg,"el sisi stands with advisors, el sisi.",0.00044339190597973206
9,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-010-01.jpg,el sisi stands with advisors.,0.0013919286861048578
10,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-011-01.jpg,el sisi is positioned among his team of advisors.,0.0001463241746130766
11,/content/drive/MyDrive/video_seg/framesxxxxx/uploaded_video-Scene-012-01.jpg,el sisi is stationed with his advisory team of advisors.,0.00013975904096648022
